timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name,season,match_datetime
1561147200,Jun 21 2019 - 8:00pm,complete,,Egypt,Zimbabwe,,1.0,0.0,0.0,2.25,0.33,1,0,1,1,1,0,41,,7,2,0,0,1,0,0,0,0,1,16,9,10,3,6,6,11,10,59,41,0.0,0.0,2.05,1.04,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.21,6.15,13.5,1.22,1.71,2.8,5.15,2.6,1.44,Cairo International Stadium,2019,2019-06-21 20:00:00
1561213800,Jun 22 2019 - 2:30pm,complete,,Congo DR,Uganda,,1.0,0.0,0.0,1.0,1.0,0,2,2,1,0,1,,"14,48",5,9,2,0,1,0,1,1,1,0,10,14,4,6,6,8,22,24,54,46,0.0,0.0,1.2,1.5,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.25,2.95,3.6,1.65,2.95,6.2,12.75,2.4,1.51,Cairo International Stadium,2019,2019-06-22 14:30:00
1561222800,Jun 22 2019 - 5:00pm,complete,,Nigeria,Burundi,,1.0,0.0,0.0,2.14,0.0,1,0,1,0,0,0,77,,4,6,0,0,1,0,0,0,0,1,12,12,4,7,8,5,19,22,64,36,0.0,0.0,1.46,1.54,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.36,4.4,10.25,1.38,2.2,4.1,8.0,2.7,1.43,Alexandria Stadium,2019,2019-06-22 17:00:00
1561233600,Jun 22 2019 - 8:00pm,complete,,Guinea,Madagascar,,1.0,0.0,0.0,1.0,1.6,2,2,4,1,1,0,"34,66","49,55",5,3,0,0,3,0,0,0,0,3,16,7,4,4,12,3,18,13,58,42,0.0,0.0,1.59,0.9,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.77,3.25,5.25,1.5,2.5,4.95,10.0,2.3,1.56,Alexandria Stadium,2019,2019-06-22 20:00:00
1561300200,Jun 23 2019 - 2:30pm,complete,,Morocco,Namibia,,1.0,0.0,0.0,2.5,0.0,1,0,1,0,0,0,89,,5,0,0,0,1,0,0,0,0,1,15,3,6,0,9,3,17,15,67,33,0.0,0.0,1.98,0.34,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.29,5.1,10.75,1.35,2.1,3.8,7.25,2.85,1.38,,2019,2019-06-23 14:30:00
1561309200,Jun 23 2019 - 5:00pm,complete,,Senegal,Tanzania,,1.0,0.0,0.0,2.14,0.0,2,0,2,1,1,0,"28,64",,6,3,1,0,4,0,1,0,2,2,21,4,11,0,10,4,18,22,63,37,0.0,0.0,2.53,0.45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.29,4.85,12.25,1.35,2.1,3.8,7.25,2.75,1.41,30 June Air Defence Stadium,2019,2019-06-23 17:00:00
1561320000,Jun 23 2019 - 8:00pm,complete,,Algeria,Kenya,,1.0,0.0,0.0,2.71,1.0,2,0,2,2,2,0,"34,43",,3,4,0,0,2,0,0,0,2,0,9,3,5,0,4,3,13,26,56,44,0.0,0.0,1.22,0.39,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.65,3.45,6.0,1.44,2.35,4.5,9.0,2.25,1.59,30 June Air Defence Stadium,2019,2019-06-23 20:00:00
1561386600,Jun 24 2019 - 2:30pm,complete,,Ivory Coast,South Africa,,1.0,0.0,0.0,2.0,1.2,1,0,1,0,0,0,65,,5,3,3,0,1,0,1,2,1,0,7,3,4,0,3,3,24,21,44,56,0.0,0.0,1.06,0.44,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.15,3.1,3.7,1.49,2.5,4.85,9.75,2.1,1.67,,2019,2019-06-24 14:30:00
1561395600,Jun 24 2019 - 5:00pm,complete,,Tunisia,Angola,,1.0,0.0,0.0,1.0,0.67,1,1,2,1,1,0,34,73,0,3,2,0,1,0,1,1,1,0,11,9,4,3,7,6,15,19,50,50,0.0,0.0,1.23,1.14,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.71,3.6,5.05,1.44,2.35,4.5,9.0,2.2,1.61,New Suez Stadium,2019,2019-06-24 17:00:00
1561406400,Jun 24 2019 - 8:00pm,complete,,Mali,Mauritania,,1.0,0.0,0.0,1.75,0.67,4,1,5,2,2,0,"37,45,55,74",72,5,7,2,0,3,0,1,1,1,2,17,5,10,2,7,3,15,14,53,47,0.0,0.0,2.02,0.75,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.77,3.4,4.9,1.39,2.2,4.15,8.25,2.05,1.71,New Suez Stadium,2019,2019-06-24 20:00:00
1561482000,Jun 25 2019 - 5:00pm,complete,,Cameroon,Guinea-Bissau,,1.0,0.0,0.0,1.25,0.33,2,0,2,0,0,0,"66,69",,8,2,2,0,1,0,0,2,0,1,16,11,6,0,10,11,24,12,60,40,0.0,0.0,1.9,0.91,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5,3.85,8.25,1.47,2.4,4.7,9.5,2.55,1.47,Ismaïlia Stadium,2019,2019-06-25 17:00:00
1561492800,Jun 25 2019 - 8:00pm,complete,,Ghana,Benin,,1.0,0.0,0.0,1.5,0.8,2,2,4,3,2,1,"9,42","2,63",4,5,2,1,2,0,1,2,0,2,8,16,4,5,4,11,15,26,51,49,0.0,0.0,1.04,1.58,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.62,3.65,6.55,1.51,2.6,5.15,10.5,2.55,1.47,Ismaïlia Stadium,2019,2019-06-25 20:00:00
1561559400,Jun 26 2019 - 2:30pm,complete,,Nigeria,Guinea,,2.0,3.0,1.0,2.14,1.0,1,0,1,0,0,0,73,,10,1,2,0,2,0,0,2,1,1,14,13,7,5,7,8,13,12,50,50,1.46,1.59,1.73,1.46,2.5,50,50,50,50,0,0,50,50,100,9.0,0.0,2.1,3.1,3.8,1.53,2.65,5.25,10.75,2.2,1.61,Alexandria Stadium,2019,2019-06-26 14:30:00
1561568400,Jun 26 2019 - 5:00pm,complete,,Uganda,Zimbabwe,,2.0,3.0,0.0,1.0,0.33,1,1,2,2,1,1,12,40,6,4,1,0,0,0,0,1,0,0,8,13,3,3,5,10,17,23,43,57,1.5,1.04,0.96,1.27,1.5,0,50,0,0,0,0,100,0,50,11.0,2.0,2.5,2.75,3.35,1.65,2.95,6.2,12.75,2.35,1.54,Cairo International Stadium,2019,2019-06-26 17:00:00
1561579200,Jun 26 2019 - 8:00pm,complete,,Egypt,Congo DR,,2.0,3.0,0.0,2.25,1.0,2,0,2,2,2,0,"25,43",,3,5,3,0,2,0,0,3,1,1,9,19,4,4,5,15,19,16,49,51,2.05,1.2,1.04,1.87,1.5,0,50,0,0,0,0,100,0,50,12.0,2.0,1.35,4.75,8.75,1.29,1.95,3.35,6.45,2.3,1.57,Cairo International Stadium,2019,2019-06-26 20:00:00
1561645800,Jun 27 2019 - 2:30pm,complete,,Madagascar,Burundi,,2.0,1.0,0.0,1.6,0.0,1,0,1,0,0,0,76,,8,5,1,0,1,0,0,1,0,1,9,10,6,3,3,7,17,24,47,53,0.9,1.54,1.27,1.21,2.5,50,50,50,50,0,0,50,50,100,9.0,4.0,3.0,2.9,2.55,1.51,2.6,5.15,10.5,2.1,1.67,Alexandria Stadium,2019,2019-06-27 14:30:00
1561654800,Jun 27 2019 - 5:00pm,complete,,Senegal,Algeria,,2.0,3.0,3.0,2.14,2.71,0,1,1,0,0,0,,49,6,4,2,0,2,0,2,0,2,0,12,10,3,4,9,6,19,34,51,49,2.53,1.22,1.32,1.13,2.0,0,100,0,0,0,50,100,0,50,9.0,1.0,2.1,3.0,3.9,1.53,2.65,5.25,10.75,2.2,1.62,30 June Air Defence Stadium,2019,2019-06-27 17:00:00
1561665600,Jun 27 2019 - 8:00pm,complete,,Kenya,Tanzania,,2.0,0.0,0.0,1.0,0.0,3,2,5,3,1,2,"39,62,80","6,40",7,3,4,0,2,0,2,2,1,1,14,10,10,6,4,4,25,23,53,47,0.39,0.45,1.85,1.23,2.0,0,100,0,0,0,50,100,0,50,7.0,6.0,2.2,3.0,3.55,1.54,2.65,5.4,11.0,2.2,1.61,30 June Air Defence Stadium,2019,2019-06-27 20:00:00
1561732200,Jun 28 2019 - 2:30pm,complete,,Tunisia,Mali,,2.0,1.0,3.0,1.0,1.75,1,1,2,0,0,0,70,60,4,6,3,0,3,0,2,1,1,2,10,11,4,5,6,6,18,15,51,49,1.23,2.02,1.11,1.27,3.5,100,100,50,50,50,50,100,50,100,5.0,4.0,2.45,2.95,3.15,1.54,2.65,5.4,11.0,2.15,1.65,New Suez Stadium,2019,2019-06-28 14:30:00
1561741200,Jun 28 2019 - 5:00pm,complete,,Morocco,Ivory Coast,,2.0,3.0,3.0,2.5,2.0,1,0,1,1,1,0,23,,6,5,1,0,1,0,0,1,0,1,13,11,4,4,9,7,27,17,50,50,1.98,1.06,1.42,1.26,1.0,0,0,0,0,0,0,0,0,100,10.0,3.0,2.45,2.8,3.25,1.65,3.0,6.3,13.0,2.4,1.53,,2019,2019-06-28 17:00:00
1561752000,Jun 28 2019 - 8:00pm,complete,,South Africa,Namibia,,2.0,0.0,0.0,1.2,0.0,1,0,1,0,0,0,68,,3,5,1,0,3,0,0,1,0,3,16,6,8,2,8,4,8,18,50,50,0.44,0.34,1.98,0.8,1.0,0,0,0,0,0,0,0,0,100,3.0,2.0,1.62,3.75,5.5,1.39,2.2,4.15,8.25,2.2,1.61,,2019,2019-06-28 20:00:00
1561818600,Jun 29 2019 - 2:30pm,complete,,Mauritania,Angola,,2.0,0.0,1.0,0.67,0.67,0,0,0,0,0,0,,,5,4,1,0,2,0,0,1,0,2,-1,-1,-1,-1,-1,-1,23,19,43,57,0.75,1.14,0.0,0.0,3.5,100,100,50,50,50,50,100,50,100,10.0,4.0,5.65,3.4,1.69,1.5,2.5,4.95,10.0,2.35,1.54,New Suez Stadium,2019,2019-06-29 14:30:00
1561827600,Jun 29 2019 - 5:00pm,complete,,Cameroon,Ghana,,2.0,3.0,1.0,1.25,1.5,0,0,0,0,0,0,,,6,5,0,0,1,0,0,0,0,1,9,16,3,3,6,13,16,11,56,44,1.9,1.04,1.09,1.39,3.0,50,100,50,50,0,50,50,50,100,12.0,5.0,2.65,2.95,2.85,1.57,2.75,5.55,11.5,2.2,1.61,Ismaïlia Stadium,2019,2019-06-29 17:00:00
1561838400,Jun 29 2019 - 8:00pm,complete,,Benin,Guinea-Bissau,,2.0,1.0,0.0,0.8,0.33,0,0,0,0,0,0,,,7,4,2,0,1,0,1,1,1,0,18,13,3,3,15,10,13,15,55,45,1.58,0.91,1.7,1.17,3.0,50,100,50,50,0,50,50,50,100,7.0,3.0,1.95,3.15,4.35,1.47,2.4,4.7,9.5,2.15,1.65,Ismaïlia Stadium,2019,2019-06-29 20:00:00
1561910400,Jun 30 2019 - 4:00pm,complete,,Burundi,Guinea,,3.0,0.0,0.5,0.0,1.0,0,2,2,1,0,1,,"25,52",5,6,2,1,1,0,1,2,1,0,-1,-1,-1,-1,-1,-1,16,14,40,60,1.37,1.53,0.0,0.0,1.75,25,25,25,25,0,0,25,25,100,8.5,2.0,5.5,3.5,1.69,1.43,2.35,4.45,8.75,2.2,1.61,,2019,2019-06-30 16:00:00
1561910400,Jun 30 2019 - 4:00pm,complete,,Madagascar,Nigeria,,3.0,2.0,3.0,1.6,2.14,2,0,2,1,1,0,"13,53",,3,5,1,0,0,0,0,1,0,0,6,13,4,2,2,11,15,20,32,68,1.09,1.6,0.81,1.37,1.75,25,25,25,25,0,0,25,25,100,12.5,3.0,5.1,2.6,2.05,1.57,2.8,5.65,11.75,2.25,1.59,Alexandria Stadium,2019,2019-06-30 16:00:00
1561921200,Jun 30 2019 - 7:00pm,complete,,Zimbabwe,Congo DR,,3.0,0.5,0.0,0.33,1.0,0,4,4,2,0,2,,"4,34,65,78",8,8,1,0,3,0,0,1,0,3,14,14,5,5,9,9,16,27,59,59,1.15,1.53,1.58,1.44,1.75,25,75,0,0,0,50,100,0,25,8.0,2.5,2.9,3.2,2.45,1.44,2.35,4.5,9.0,2.0,1.74,30 June Air Defence Stadium,2019,2019-06-30 19:00:00
1561921200,Jun 30 2019 - 7:00pm,complete,,Uganda,Egypt,,3.0,2.0,3.0,1.0,2.25,0,2,2,2,0,2,,"36,45'1",9,9,2,0,1,0,0,2,0,1,14,14,6,6,8,8,12,18,49,49,1.23,1.55,1.58,1.44,1.75,25,75,0,0,0,50,100,0,25,12.5,2.5,5.35,3.15,1.77,1.48,2.45,4.8,9.75,2.2,1.61,Cairo International Stadium,2019,2019-06-30 19:00:00
1561996800,Jul 01 2019 - 4:00pm,complete,,South Africa,Morocco,,3.0,1.5,3.0,1.2,2.5,0,1,1,0,0,0,,90,3,0,2,0,0,0,2,0,0,0,4,12,0,4,4,8,21,12,42,58,1.21,1.7,0.5,1.42,1.0,0,0,0,0,0,0,25,0,75,8.5,1.5,4.2,2.45,2.4,1.71,3.25,6.9,14.25,2.45,1.49,,2019,2019-07-01 16:00:00
