season,timestamp,match_datetime,home_team_name,away_team_name,stadium_name,referee,attendance,target_outcome,Away_Team_Pre_Match_xG,Home_Team_Pre_Match_xG,average_corners_per_match_pre_match,away_team_fouls,away_team_possession,away_team_red_cards,away_team_shots,away_team_shots_off_target,away_team_shots_on_target,away_team_yellow_cards,home_team_fouls,home_team_possession,home_team_red_cards,home_team_shots,home_team_shots_off_target,home_team_shots_on_target,home_team_yellow_cards,team_a_xg,team_b_xg
2019,1561147200,2019-06-21 20:00:00,Egypt,Zimbabwe,Cairo International Stadium,,,HOME_WIN,0.0,0.0,0.0,10,41,0,9,6,3,1,11,59,0,16,6,10,0,2.05,1.04
2019,1561213800,2019-06-22 14:30:00,Congo DR,Uganda,Cairo International Stadium,,,AWAY_WIN,0.0,0.0,0.0,24,46,0,14,8,6,1,22,54,0,10,6,4,2,1.2,1.5
2019,1561222800,2019-06-22 17:00:00,Nigeria,Burundi,Alexandria Stadium,,,HOME_WIN,0.0,0.0,0.0,22,36,0,12,5,7,1,19,64,0,12,8,4,0,1.46,1.54
2019,1561233600,2019-06-22 20:00:00,Guinea,Madagascar,Alexandria Stadium,,,DRAW,0.0,0.0,0.0,13,42,0,7,3,4,3,18,58,0,16,12,4,0,1.59,0.9
2019,1561300200,2019-06-23 14:30:00,Morocco,Namibia,,,,HOME_WIN,0.0,0.0,0.0,15,33,0,3,3,0,1,17,67,0,15,9,6,0,1.98,0.34
2019,1561309200,2019-06-23 17:00:00,Senegal,Tanzania,30 June Air Defence Stadium,,,HOME_WIN,0.0,0.0,0.0,22,37,0,4,4,0,4,18,63,0,21,10,11,1,2.53,0.45
2019,1561320000,2019-06-23 20:00:00,Algeria,Kenya,30 June Air Defence Stadium,,,HOME_WIN,0.0,0.0,0.0,26,44,0,3,3,0,2,13,56,0,9,4,5,0,1.22,0.39
2019,1561386600,2019-06-24 14:30:00,Ivory Coast,South Africa,,,,HOME_WIN,0.0,0.0,0.0,21,56,0,3,3,0,1,24,44,0,7,3,4,3,1.06,0.44
2019,1561395600,2019-06-24 17:00:00,Tunisia,Angola,New Suez Stadium,,,DRAW,0.0,0.0,0.0,19,50,0,9,6,3,1,15,50,0,11,7,4,2,1.23,1.14
2019,1561406400,2019-06-24 20:00:00,Mali,Mauritania,New Suez Stadium,,,HOME_WIN,0.0,0.0,0.0,14,47,0,5,3,2,3,15,53,0,17,7,10,2,2.02,0.75
2019,1561482000,2019-06-25 17:00:00,Cameroon,Guinea-Bissau,Ismaïlia Stadium,,,HOME_WIN,0.0,0.0,0.0,12,40,0,11,11,0,1,24,60,0,16,10,6,2,1.9,0.91
2019,1561492800,2019-06-25 20:00:00,Ghana,Benin,Ismaïlia Stadium,,,DRAW,0.0,0.0,0.0,26,49,0,16,11,5,2,15,51,1,8,4,4,2,1.04,1.58
2019,1561559400,2019-06-26 14:30:00,Nigeria,Guinea,Alexandria Stadium,,,HOME_WIN,1.59,1.46,9.0,12,50,0,13,8,5,2,13,50,0,14,7,7,2,1.73,1.46
2019,1561568400,2019-06-26 17:00:00,Uganda,Zimbabwe,Cairo International Stadium,,,DRAW,1.04,1.5,11.0,23,57,0,13,10,3,0,17,43,0,8,5,3,1,0.96,1.27
2019,1561579200,2019-06-26 20:00:00,Egypt,Congo DR,Cairo International Stadium,,,HOME_WIN,1.2,2.05,12.0,16,51,0,19,15,4,2,19,49,0,9,5,4,3,1.04,1.87
2019,1561645800,2019-06-27 14:30:00,Madagascar,Burundi,Alexandria Stadium,,,HOME_WIN,1.54,0.9,9.0,24,53,0,10,7,3,1,17,47,0,9,3,6,1,1.27,1.21
2019,1561654800,2019-06-27 17:00:00,Senegal,Algeria,30 June Air Defence Stadium,,,AWAY_WIN,1.22,2.53,9.0,34,49,0,10,6,4,2,19,51,0,12,9,3,2,1.32,1.13
