class,feature,mean_abs_shap,rank_in_class
AWAY_WIN,over_15_2HG_percentage_pre_match,0.8885105628886951,1.0
AWAY_WIN,average_corners_per_match_pre_match,0.7645817690830174,2.0
AWAY_WIN,over_25_percentage_pre_match,0.7174791889615145,3.0
AWAY_WIN,odds_ft_home_team_win,0.6598064000148276,4.0
AWAY_WIN,over_35_percentage_pre_match,0.5571504257787864,5.0
AWAY_WIN,odds_ft_over45,0.5241472667337228,6.0
AWAY_WIN,Home_Team_Pre_Match_xG,0.4528328331757145,7.0
AWAY_WIN,over_15_HT_FHG_percentage_pre_match,0.40075392864314563,8.0
AWAY_WIN,over_05_HT_FHG_percentage_pre_match,0.3766552129642736,9.0
AWAY_WIN,odds_ft_over35,0.2719607445250016,10.0
AWAY_WIN,Away_Team_Pre_Match_xG,0.26127622607723217,11.0
AWAY_WIN,average_goals_per_match_pre_match,0.25780448918727406,12.0
AWAY_WIN,Pre_Match_PPG_(Home),0.2490252675041512,13.0
AWAY_WIN,average_cards_per_match_pre_match,0.23082636350646427,14.0
AWAY_WIN,over_15_percentage_pre_match,0.22276614778322984,15.0
AWAY_WIN,odds_ft_over25,0.1940231261169137,16.0
AWAY_WIN,over_45_percentage_pre_match,0.13121471398730453,17.0
AWAY_WIN,btts_percentage_pre_match,0.09382113337382308,18.0
AWAY_WIN,odds_btts_yes,0.08701904272428179,19.0
AWAY_WIN,odds_ft_away_team_win,0.07913495706310546,20.0
AWAY_WIN,odds_btts_no,0.0670885277228036,21.0
AWAY_WIN,odds_ft_draw,0.062400497349253674,22.0
AWAY_WIN,odds_ft_over15,0.06234566189450556,23.0
AWAY_WIN,Pre_Match_PPG_(Away),0.04709700921456856,24.0
AWAY_WIN,over_05_2HG_percentage_pre_match,0.03916083971099278,25.0
DRAW,over_35_percentage_pre_match,0.8475179570001974,1.0
DRAW,odds_ft_over45,0.6063501018972994,2.0
DRAW,over_15_2HG_percentage_pre_match,0.5958391032153283,3.0
DRAW,btts_percentage_pre_match,0.5156201367807823,4.0
DRAW,over_15_percentage_pre_match,0.46392831100095067,5.0
DRAW,Pre_Match_PPG_(Home),0.453234587966043,6.0
DRAW,odds_ft_over25,0.3514700928970696,7.0
DRAW,over_05_2HG_percentage_pre_match,0.33979359396646736,8.0
DRAW,average_goals_per_match_pre_match,0.31518747581198964,9.0
DRAW,Away_Team_Pre_Match_xG,0.29807872125982193,10.0
DRAW,odds_ft_over15,0.279664666374826,11.0
DRAW,odds_ft_over35,0.27624177556539276,12.0
DRAW,over_25_percentage_pre_match,0.2681291510110378,13.0
DRAW,odds_btts_yes,0.2576674516527957,14.0
DRAW,Pre_Match_PPG_(Away),0.19925612494450534,15.0
DRAW,odds_ft_draw,0.17321413922772225,16.0
DRAW,over_15_HT_FHG_percentage_pre_match,0.16785333509331507,17.0
DRAW,odds_ft_away_team_win,0.15026907884824783,18.0
DRAW,over_45_percentage_pre_match,0.1279282943253937,19.0
DRAW,Home_Team_Pre_Match_xG,0.12343942911509746,20.0
DRAW,over_05_HT_FHG_percentage_pre_match,0.11697929283419882,21.0
DRAW,average_cards_per_match_pre_match,0.10764463279255805,22.0
DRAW,odds_ft_home_team_win,0.10176979391558838,23.0
DRAW,odds_btts_no,0.09401593368198014,24.0
DRAW,average_corners_per_match_pre_match,0.035547692567829296,25.0
HOME_WIN,over_25_percentage_pre_match,0.9856083399725512,1.0
HOME_WIN,average_corners_per_match_pre_match,0.8001294616508475,2.0
HOME_WIN,btts_percentage_pre_match,0.6094412701546064,3.0
HOME_WIN,odds_ft_home_team_win,0.5580366060992399,4.0
HOME_WIN,over_05_HT_FHG_percentage_pre_match,0.49363450579847307,5.0
HOME_WIN,over_05_2HG_percentage_pre_match,0.3789544336774591,6.0
HOME_WIN,Home_Team_Pre_Match_xG,0.3293934040606181,7.0
HOME_WIN,over_15_2HG_percentage_pre_match,0.29267145967336883,8.0
HOME_WIN,over_35_percentage_pre_match,0.2903675312214108,9.0
HOME_WIN,over_15_percentage_pre_match,0.24116216321772133,10.0
HOME_WIN,odds_ft_draw,0.23561463657697598,11.0
HOME_WIN,over_15_HT_FHG_percentage_pre_match,0.23290059354983023,12.0
HOME_WIN,odds_ft_away_team_win,0.22940403591135355,13.0
HOME_WIN,odds_ft_over15,0.2173190044803211,14.0
HOME_WIN,Pre_Match_PPG_(Home),0.20420932046189177,15.0
HOME_WIN,odds_btts_yes,0.17064840892851346,16.0
HOME_WIN,odds_ft_over25,0.1574469667801557,17.0
HOME_WIN,Pre_Match_PPG_(Away),0.15215911572993682,18.0
HOME_WIN,average_cards_per_match_pre_match,0.12318173071390638,19.0
HOME_WIN,odds_ft_over45,0.08220283516357706,20.0
HOME_WIN,average_goals_per_match_pre_match,0.05738298662471534,21.0
HOME_WIN,Away_Team_Pre_Match_xG,0.03680249518258952,22.0
HOME_WIN,odds_btts_no,0.026927405959177215,23.0
HOME_WIN,odds_ft_over35,0.004281031040390818,24.0
HOME_WIN,over_45_percentage_pre_match,0.0032864196619112915,25.0
