team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Ivory Coast National Team,Ivory Coast,2019,Ivory Coast,5,2,3,0,3,1,2,1,1,0,1,0,1,2,2,2,2,0,0,4,7,3,4,10,3,7,2,5,1,2,1,3,64,90,54,150,180,134,2,1,1,2,1,1,1,0,1,3,1,2,21,11,10,10,8,2,44,43,44,52,21,31,29,13,16,23,8,15,120,56,64,1,0,1,2,1,1,-1,-1,0,1,0,1,2,1,1,2,1,1,1,0.5,1.33,2,1.5,2.33,1.4,1,1.67,0.6,0.5,0.67,0.6,0.5,0.67,0.2,0,0.33,0.4,0.5,0.33,5,2,1,1,1,0,2,1,0,0,0,0,3,1,1,1,1,0,0,3,4,4,4,5,0,1,2,2,2,2,0,2,2,2,2,3,100,40,20,20,20,0,100,50,0,0,0,0,100,33,33,33,33,0,0,60,80,80,80,100,0,50,100,100,100,100,0,67,67,67,67,100,3,0,0,1,0,0,2,0,0,60,0,0,50,0,0,67,0,0,60,50,67,-6,40,50,33,40,50,33,20,0,33,60,50,67,3,1,2,60,50,67,4,2,2,80,100,67,0,0,0,0,0,0,20,0,33,40,50,33,40,50,33,4.20,5.50,3.33,2,4,0.67,80,80,60,40,40,0,0,0,1.37,1.49,1.29,1.39,1.21,1.51,60,0,0,0,1,0,1,2,1,2,0,1,1,0,0,0,0,1,0,20,50,0,20,0,33,0
Ghana National Team,Ghana,2019,Ghana,4,2,2,0,1,0,1,3,2,1,0,0,0,1.5,1,2,2,0,0,10,5,3,2,8,6,2,3,2,3,0,0,2,72,60,90,120,60,0,2,0,2,2,2,0,1,0,1,1,0,1,24,16,8,8,6,2,51,52,51,66,32,34,22,13,9,44,19,25,66,32,34,2,2,0,1,1,0,1,1,0,1,1,0,3,1,2,0,0,0,1.5,2,1,2,3,1,1.25,1.5,1,0.75,1.5,0,0.75,1.5,0,0.5,1,0,0.25,0.5,0,3,3,1,1,0,0,2,2,1,1,0,0,1,1,0,0,0,0,1,1,3,3,4,4,0,0,1,1,2,2,1,1,2,2,2,2,75,75,25,25,0,0,100,100,50,50,0,0,50,50,0,0,0,0,25,25,75,75,100,100,0,0,50,50,100,100,50,50,100,100,100,100,1,1,1,1,1,1,0,0,0,25,25,25,50,50,50,0,0,0,25,0,50,-40,50,0,100,50,100,0,25,0,50,25,0,50,3,1,2,75,50,100,3,1,2,75,50,100,1,1,0,25,50,0,25,50,0,75,50,100,0,0,0,6.00,8.00,4.00,2,3,1.00,75,75,75,50,50,25,25,25,1.75,1.87,1.64,1.22,1.52,0.92,25,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,1,0,75,100,50,0,0,0,25
Nigeria National Team,Nigeria,2019,Nigeria,7,4,3,0,5,4,1,0,0,0,2,0,2,2.14,3,1,2,0,0,2,9,7,2,16,10,6,7,2,3,4,4,-2,70,51,134,90,120,68,3,2,1,3,2,1,1,0,1,5,4,1,38,26,12,6,4,2,52,50,56,89,54,35,36,24,12,53,30,23,124,71,53,3,2,1,4,2,2,-1,0,-1,2,1,1,2,2,0,3,1,2,1.14,1.25,1,2.29,2.5,2,1.29,1.75,0.67,1,0.75,1.33,1,1,1,0.43,0.5,0.33,0.57,0.5,0.67,7,4,3,1,1,0,4,2,2,1,1,0,3,2,1,0,0,0,0,3,4,6,6,7,0,2,2,3,3,4,0,1,2,3,3,3,100,57,43,14,14,0,100,50,50,25,25,0,100,67,33,0,0,0,0,43,57,86,86,100,0,50,50,75,75,100,0,33,67,100,100,100,5,1,1,2,1,1,3,0,0,71,14,14,50,25,25,100,0,0,71,100,33,31,43,50,33,43,50,33,14,0,33,71,100,33,4,3,1,57,75,33,4,2,2,57,50,67,1,1,0,14,25,0,29,25,33,29,50,0,43,25,67,5.43,6.50,4.00,0.86,1,0.67,86,71,56,56,43,14,14,0,1.51,1.68,1.30,1.24,1.38,1.06,57,1,1,1,0,0,0,2,3,1,0,1,0,1,2,1,0,1,1,0,0,0,29,0,67,0
Cameroon National Team,Cameroon,2019,Cameroon,4,2,2,0,1,1,0,2,1,1,1,0,1,1.25,2,0.5,1,0,0,12,4,3,1,7,2,5,2,2,0,3,2,-1,90,90,90,120,0,60,3,2,1,1,0,1,2,1,1,1,1,0,27,14,13,7,2,5,60,58,62,47,25,22,15,9,6,32,16,16,78,40,38,2,0,2,1,0,1,1,0,1,1,0,1,3,2,1,0,0,0,1.5,1,2,1.75,1,2.5,1,1,1,0.75,0,1.5,0.75,0,1.5,0.5,0,1,0.25,0,0.5,2,2,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,2,2,3,3,3,4,1,1,2,2,2,2,1,1,1,1,1,2,50,50,25,25,25,0,50,50,0,0,0,0,50,50,50,50,50,0,50,50,75,75,75,100,50,50,100,100,100,100,50,50,50,50,50,100,1,1,1,0,0,0,1,1,1,25,25,25,0,0,0,50,50,50,25,50,0,50,75,100,50,25,0,50,50,50,50,25,50,0,3,2,1,75,100,50,3,2,1,75,100,50,1,0,1,25,0,50,25,0,50,75,100,50,0,0,0,6.75,7.00,6.50,1.75,1,2.50,100,100,100,75,50,25,25,0,1.49,1.50,1.48,1.26,1.15,1.37,100,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,2,0,0,50,50,50,25,0,50,0
Algeria National Team,Algeria,2019,Algeria,7,3,4,0,6,3,3,1,0,1,0,0,0,2.71,3,2.5,1,0,0,1,13,2,11,15,8,7,7,6,1,1,6,5,48,39,60,310,273,360,5,2,3,2,1,1,0,0,0,7,3,4,23,7,16,14,4,10,51,52,50,77,30,47,35,15,20,42,15,27,148,49,99,9,4,5,0,0,0,9,4,5,6,3,3,1,0,1,0,0,0,2.71,3,2.5,2.14,2.67,1.75,1.86,2.33,1.5,0.29,0.33,0.25,1.29,1.33,1.25,1.29,1.33,1.25,0,0,0,7,5,3,0,0,0,3,3,2,0,0,0,4,2,1,0,0,0,0,2,4,7,7,7,0,0,1,3,3,3,0,2,3,4,4,4,100,71,43,0,0,0,100,100,67,0,0,0,100,50,25,0,0,0,0,29,57,100,100,100,0,0,33,100,100,100,0,50,75,100,100,100,6,2,1,3,1,0,3,1,1,86,29,14,100,33,0,75,25,25,86,100,75,6,71,67,75,29,33,25,0,0,0,100,100,100,7,3,4,100,100,100,1,0,1,14,0,25,0,0,0,0,0,0,86,100,75,14,0,25,0,0,0,3.29,2.33,4.00,2,1.33,2.50,71,56,43,14,0,0,0,0,1.30,1.25,1.34,1.24,1.05,1.38,57,1,1,1,4,3,1,0,0,2,0,0,0,0,0,0,1,1,0,14,0,25,0,0,0,0
Senegal National Team,Senegal,2019,Senegal,7,5,2,0,5,3,2,0,0,0,2,2,0,2.14,1.8,3,2,0,0,3,8,2,6,10,6,4,4,4,2,0,2,4,79,113,45,310,225,0,5,3,2,0,0,0,2,2,0,5,3,2,38,28,10,10,7,3,59,58,61,97,78,19,40,26,14,57,52,5,125,95,30,2,1,1,1,1,0,1,0,1,2,1,1,4,3,1,1,1,0,1.43,1.2,2,1.43,1.2,2,1.14,0.8,2,0.29,0.4,0,0.43,0.4,0.5,0.29,0.2,0.5,0.14,0.2,0,7,2,1,0,0,0,5,1,0,0,0,0,2,1,1,0,0,0,0,5,6,7,7,7,0,4,5,5,5,5,0,1,1,2,2,2,100,29,14,0,0,0,100,20,0,0,0,0,100,50,50,0,0,0,0,71,86,100,100,100,0,80,100,100,100,100,0,50,50,100,100,100,3,0,0,2,0,0,1,0,0,43,0,0,40,0,0,50,0,0,71,60,100,-34,71,60,100,0,0,0,29,40,0,71,60,100,6,4,2,86,80,100,5,4,1,71,80,50,0,0,0,0,0,0,29,20,50,57,60,50,14,20,0,5.43,5.60,5.00,1.43,1.4,1.50,86,86,71,43,14,14,14,0,1.67,1.76,1.44,0.98,0.97,1.02,29,0,1,1,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,29,40,0,0
Kenya National Team,Kenya,2019,Kenya,3,2,1,0,1,1,0,0,0,0,2,1,1,1,1.5,0,3,0,0,17,3,7,-4,10,8,2,3,0,5,2,-2,-2,90,60,0,39,36,45,0,0,0,1,1,0,2,1,1,0,0,0,16,12,4,10,8,2,43,43,44,27,24,3,13,13,0,14,11,3,70,44,26,1,1,0,4,2,2,-3,-1,-2,0,0,0,1,1,0,2,1,1,0.33,0.5,0,3.33,4,2,1,1.5,0,2.33,2.5,2,1.67,1.5,2,0.33,0.5,0,1.33,1,2,3,3,2,1,1,0,2,2,2,1,1,0,1,1,0,0,0,0,0,0,1,2,2,3,0,0,0,1,1,2,0,0,1,1,1,1,100,100,67,33,33,0,100,100,100,50,50,0,100,100,0,0,0,0,0,0,33,67,67,100,0,0,0,50,50,100,0,0,100,100,100,100,2,2,1,1,1,1,1,1,0,67,67,33,50,50,50,100,100,0,33,50,0,22,0,0,0,33,50,0,67,50,100,0,0,0,1,1,0,33,50,0,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,33,50,0,67,50,100,5.33,6.00,4.00,3.33,4,2.00,100,67,67,67,0,0,0,0,1.08,1.43,0.39,1.51,1.65,1.22,133,0,0,0,1,0,0,1,1,0,1,0,0,2,1,0,1,2,0,0,0,0,67,50,100,0
South Africa National Team,South Africa,2019,South Africa,5,2,3,0,2,1,1,0,0,0,3,1,2,1.2,1.5,1,3,0,0,11,3,4,-1,7,2,5,1,2,1,3,0,-1,150,180,134,113,180,90,2,1,1,1,0,1,2,1,1,2,1,1,13,6,7,11,3,8,48,46,50,44,20,24,19,8,11,25,12,13,89,29,60,0,0,0,1,0,1,-1,0,-1,0,0,0,4,2,2,1,0,1,0.8,1,0.67,1.4,1,1.67,0.6,0.5,0.67,0.8,0.5,1,0.2,0,0.33,0,0,0,0.2,0,0.33,5,1,1,0,0,0,2,0,0,0,0,0,3,1,1,0,0,0,0,4,4,5,5,5,0,2,2,2,2,2,0,2,2,3,3,3,100,20,20,0,0,0,100,0,0,0,0,0,100,33,33,0,0,0,0,80,80,100,100,100,0,100,100,100,100,100,0,67,67,100,100,100,1,0,0,0,0,0,1,0,0,20,0,0,0,0,0,33,0,0,40,50,33,11,40,50,33,20,0,33,40,50,33,40,50,33,4,2,2,80,100,67,5,2,3,100,100,100,0,0,0,0,0,0,0,0,0,80,100,67,20,0,33,2.60,3.00,2.33,2.2,1.5,2.67,60,40,0,0,0,0,0,0,1.13,1.24,1.06,1.35,1.11,1.50,20,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,2,0,0,0,60,50,67,0
Guinea National Team,Guinea,2019,Guinea,4,1,3,0,1,0,1,1,1,0,2,0,2,1,1,1,3,0,0,13,4,6,-2,10,4,6,2,2,2,4,0,-2,90,45,134,60,45,68,1,0,1,1,1,0,2,0,2,2,1,1,15,5,10,5,0,5,72,58,80,43,16,27,12,4,8,31,12,19,64,18,46,2,1,1,1,0,1,1,1,0,2,1,1,1,0,1,1,0,1,1.75,3,1.33,2.5,4,2,1,2,0.67,1.5,2,1.33,0.75,1,0.67,0.5,1,0.33,0.25,0,0.33,4,3,2,1,0,0,1,1,1,1,0,0,3,2,1,0,0,0,0,1,2,3,4,4,0,0,0,0,1,1,0,1,2,3,3,3,100,75,50,25,0,0,100,100,100,100,0,0,100,67,33,0,0,0,0,25,50,75,100,100,0,0,0,0,100,100,0,33,67,100,100,100,3,0,0,1,0,0,2,0,0,75,0,0,100,0,0,67,0,0,25,0,33,34,25,0,33,25,100,0,50,0,67,50,100,33,3,1,2,75,100,67,2,0,2,50,0,67,0,0,0,0,0,0,50,100,33,25,0,33,25,0,33,3.75,5.00,3.33,1.25,0,1.67,75,75,50,50,50,0,0,0,1.50,1.59,1.46,1.33,0.90,1.54,50,0,0,1,1,0,1,1,0,0,0,0,1,0,1,2,0,1,1,25,100,0,50,0,67,0
Uganda National Team,Uganda,2019,Uganda,4,3,1,0,1,0,1,1,1,0,2,2,0,1,0.33,3,2,0,0,14,3,4,-1,7,5,2,1,2,4,0,-3,2,120,273,45,90,68,0,1,0,1,1,1,0,2,2,0,2,1,1,28,19,9,7,6,1,46,46,46,44,30,14,19,13,6,25,17,8,79,55,24,2,1,1,4,4,0,-2,-3,1,1,0,1,1,1,0,2,2,0,1,0.33,3,1.75,1.67,2,0.75,0.33,2,1,1.33,0,1.5,1.67,1,0.5,0.33,1,1,1.33,0,4,3,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,1,4,4,4,4,0,1,3,3,3,3,0,0,1,1,1,1,100,75,0,0,0,0,100,67,0,0,0,0,100,100,0,0,0,0,0,25,100,100,100,100,0,33,100,100,100,100,0,0,100,100,100,100,4,2,0,3,2,0,1,0,0,100,50,0,100,67,0,100,0,0,25,0,100,-45,25,0,100,25,33,0,50,67,0,50,33,100,1,0,1,25,0,100,2,2,0,50,67,0,1,1,0,25,33,0,25,0,100,25,33,0,50,67,0,7.00,6.33,9.00,1.75,2,1.00,100,100,100,75,50,50,50,50,1.27,1.19,1.50,1.18,1.17,1.20,25,0,2,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,25,33,0,50,67,0,25
